File ID,Medium,Domain,GENRE,Notes & Alternative Genres,COPAC Keywords,Keywords,Aud Age,Aud Sex,Aud Level,Word Total,Sampling,Bibliographical Details,Circulation Status,Interaction Type,Time Period (Alltim),Mode,Author Age,Author Sex,Author Type,Flesch,Word bin
A00,m_pub,W_soc_science,W_non_ac_medicine,---,---,Health; Sex,adult,mixed,med,6673,cmp,"[ACET factsheets & newsletters]. London: Aids Care Education & Training, 1991, pp. ??. 421 s-units.",M,---,1985-1994,W,---,---,Multiple,56.5,2
A01,m_pub,W_soc_science,W_non_ac_medicine,---,---,AIDS; disease; sex,adult,mixed,low,7882,cmp,"[ACET AIDS leaflets]. London: Aids Care Education & Training, 1991, pp. ??. 596 s-units.",L,---,1985-1994,W,---,---,Corporate,67.1,2
A02,m_pub,W_soc_science,W_institut_doc,---,---,Health; Disease; Finance,adult,mixed,med,3347,whl,"ACET Annual Review 1990/91. London: Aids Care Education & Training, 1991, pp. ??. 222 s-units.",L,---,1985-1994,W,---,---,Corporate,55.7,1
A03,periodical,W_world_affairs,W_pop_lore,Also W_non_ac_polit_law_edu,---,human rights; prisons; politics,adult,mixed,med,19255,whl,"Amnesty. London: Amnesty International, 1991, pp. ??. 1050 s-units.",H,---,1985-1994,W,---,Mixed,Multiple,50.1,4
A04,book,W_arts,W_ac_humanities_arts,---,Visual arts. Criticism; Art criticism,art criticism; art history,adult,mixed,high,38802,beg,"Art criticism: a user's guide. Darracott, Joseph. London: Bellew Pub. Ltd, 1991, pp. ??. 1618 s-units.",M,---,1985-1994,W,---,Male,Sole,47.6,8
A05,book,W_arts,W_ac_humanities_arts,Document Type:  Essays,"English essays - 20th century - Collections; Literature, Modern - History and criticism ; Authorship",Literature,adult,mixed,high,41009,mid,"Authors. Miller, Karl. Oxford: OUP, 1989, pp. 60-163. 1705 s-units.",L,---,1985-1994,W,45-59,Male,Sole,62.8,9
A06,book,W_arts,W_non_ac_humanities_arts,---,"Acting - Vocational guidance - Great Britain; Acting - Study and teaching ; Actors & actresses, Training",Acting,adult,mixed,low,35934,beg,"So you want to be an actor? Rendle, Adrian. London: A & C Black (Pubs) Ltd, 1991, pp. 5-107. 2404 s-units.",M,---,1985-1994,W,---,Male,Sole,68.6,8
A07,book,W_belief_thought,W_ac_humanities_arts,---,"Ireland. Catholic Church. Relations with state; Ireland - Church history - 20th century ; Church and state - Northern Ireland ; Northern Ireland - Church history ; Religion and politics - Northern Ireland ; Northern Ireland - Politics and government ; Church and state - Northen Ireland ; Christianity. Related to, State ; Irish question",Ireland; religion; politics,adult,mixed,high,38722,mid,"The tragedy of belief. Fulton, John. Oxford: OUP, 1991, pp. ??. 1507 s-units.",L,---,1985-1994,W,45-59,Male,Sole,39,8
A08,book,W_imaginative,W_fict_prose,---,"Duchamp, Marcel, 1887-1968, in fiction, poetry, drama, etc.; Poetry in English, 1945- - Texts",-,adult,mixed,high,39777,beg,"The big glass. Josipovici, Gabriel. Manchester: Carcanet Press, 1991, pp. ??. 3201 s-units.",M,---,1985-1994,W,45-59,Male,Sole,78.1,8
A0A,m_pub,W_leisure,W_misc,---,---,brewing; beer,adult,mixed,med,5722,cmp,"[CAMRA fact sheets]. St Albans: CAMRA, n.d., pp. ??. 295 s-units.",M,---,---,W,---,---,Corporate,62.5,2
A0B,m_pub,W_leisure,W_misc,---,---,pubs; beer; architecture; conservation,adult,mixed,med,11638,whl,"Trouble brewing. Holder, R; Powers, A; Parissien, S; Langford, N; Gamston, David. St Albans: CAMRA, 1991, pp. ??. 449 s-units.",M,---,1985-1994,W,---,---,Multiple,47.6,3
A0C,periodical,W_soc_science,W_misc,---,---,catering; hotel management; food; business,adult,mixed,med,30047,--,"Caterer & Hotelkeeper. Sutton, Surrey: Reed Pub. Group, 1991, pp. ??. 1671 s-units.",M,---,1985-1994,W,---,---,Multiple,55.3,7
A0D,book,W_imaginative,W_fict_prose,---,Short stories in English - Anthologies; English fiction - 20th century,-,adult,mixed,med,36715,end,"A classic English crime. Heald, Tim. London: Pavilion Books Ltd, 1990, pp. 96-216. 2996 s-units.",H,---,1985-1994,W,---,---,Multiple,78.7,8
A0E,periodical,W_arts,W_misc,---,---,Film; television; arts,adult,mixed,med,14849,whl,"The seventh Birmingham International Film & TV Festival. Birmingham: Enterprise Magazines Ltd, 1991, pp. ??. 867 s-units.",M,---,1985-1994,W,---,---,Multiple,48.9,3
A0F,book,W_imaginative,W_fict_prose,---,---,-,adult,mixed,med,40062,whl,"Part of the furniture. Falk, Michael. London: Bellew Pub. Ltd, 1991, pp. 1-146. 3416 s-units.",M,---,1985-1994,W,15-24,Male,Sole,83.2,9
A0G,periodical,W_nat_science,W_pop_lore,---,---,gardening news; plants; vegetables,adult,mixed,low,36117,--,"Gardeners' World. London: Redwood Pub., 1991, pp. ??. 2756 s-units.",H,---,1985-1994,W,---,---,Multiple,58.5,8
A0H,book,W_leisure,W_misc,---,Gliding and soaring - Safety measures,gliding,adult,mixed,med,39287,beg,"Gliding safety. Piggott, Derek. London: A & C Black (Pubs) Ltd, 1991, pp. 9-91. 1829 s-units.",L,---,1985-1994,W,45-59,Male,Sole,62.3,8
A0J,m_pub,W_nat_science,W_misc,Also W_institut_doc,---,health; safety,adult,mixed,low,24232,--,"[Health promotion and education leaflets]. u.p., n.d., pp. ??. 2064 s-units.",M,---,1985-1994,W,---,---,Multiple,64.5,5
A0K,book,W_soc_science,W_ac_soc_science,---,Group identity - Great Britain; Police - Great Britain ; Police - England,police; crime; law,adult,mixed,high,38572,beg,"An inside job: policing and police culture in Britain. Young, Malcolm. Oxford: OUP, 1991, pp. 2-106. 1208 s-units.",L,---,1985-1994,W,45-59,Male,Sole,45.6,8
A0L,book,W_imaginative,W_fict_prose,---,---,-,adult,mixed,med,41322,whl,"Jay loves Lucy. Cooper, Fiona. London: Serpent's Tail, 1991, pp. 11-154. 3899 s-units.",M,---,1985-1994,W,25-34,Female,Sole,83.9,9
A0M,book,W_leisure,W_misc,---,karate,karate,adult,male,med,23628,whl,"Winning karate competition. Mitchell, David. London: A & C Black (Pubs) Ltd, 1991, pp. 10-108. 1401 s-units.",M,---,1985-1994,W,---,Male,Sole,63.2,5
A0N,book,W_imaginative,W_fict_prose,---,"Fiction in English, 1945- - Texts; Scotland - History - 19th century ; Scotland - History - 18th century",-,adult,mixed,med,39333,beg,"King Cameron. Craig, David. Manchester: Carcanet Press, 1991, pp. 15-113. 2685 s-units.",M,---,1985-1994,W,45-59,Male,Sole,82.9,8
A0P,book,W_arts,W_biography,---,"Poets, Canadian - 20th century, Biography; Lyricists - United States - Biography ; Cohen, Leonard, 1934- - Biography ; Jewish authors, Canadian - Biography ; Singers - Canada, Biography ; English poetry",pop music; song writing,adult,mixed,med,41422,beg,"Leonard Cohen: prophet of the heart. Dorman, Loranne S and Rawlins, Clive L. London: Omnibus Press, 1990, pp. ??. 1883 s-units.",M,---,1985-1994,W,---,Mixed,Multiple,59.8,9
