file,readability,aud_level,classified,correct
A00,60.48586535523303,med,med,1
A01,72.00632964094049,low,low,1
A02,64.16363029690912,med,med,1
A03,50.75466041206727,med,med,1
A04,43.41925896043429,high,high,1
A05,54.59546156499472,high,med,0
A06,66.73973840571298,low,low,1
A07,37.05650249411059,high,high,1
A08,79.53281915465008,high,low,0
A0A,60.503113154656376,med,med,1
A0B,39.301287303298636,med,high,0
A0C,52.16488793915249,med,med,1
A0D,72.96535294233217,med,low,0
A0E,57.786758119984555,med,med,1
A0F,79.72574696551303,med,low,0
A0G,54.96668538733533,low,med,0
A0H,56.652968054507895,med,med,1
A0J,66.7741426034713,low,low,1
A0K,29.4469576625969,high,high,1
A0L,81.64421801241983,med,low,0
A0M,59.76576147396001,med,med,1
A0N,73.77954370822835,med,low,0
A0P,48.6849793946605,med,med,1
A0R,79.366704338555,med,low,0
A0S,53.93839870525514,low,med,0
A0T,38.217493367251876,high,high,1
A0U,73.19782775849501,high,low,0
A0V,60.308789621610046,low,med,0
A0W,61.68332019795179,low,med,0
A0X,59.979138371668526,med,med,1
A0Y,62.16968046158229,low,med,0
A10,49.97267488671372,low,med,0
A11,49.66194013589694,med,med,1
A12,47.505238830338186,med,med,1
A13,62.75195707070709,low,med,0
A14,60.33437271135021,med,med,1
A15,61.36479927818546,med,med,1
A16,59.76523361772634,med,med,1
A17,68.12388692551353,low,low,1
A18,50.48976196937667,high,med,0
A19,49.19651128072954,high,med,0
A1A,32.050529949065606,high,high,1
A1B,50.43091482550061,high,med,0
A1D,42.6678175167649,med,high,0
A1E,50.20948116396127,med,med,1
A1F,51.282699378165205,med,med,1
A1G,46.04813590176957,med,med,1
A1H,49.18844814394029,med,med,1
A1J,45.753324758495296,med,med,1
A1K,69.0818545059718,med,low,0
A1L,56.60996159217879,med,med,1
A1M,45.15972812252144,med,med,1
A1N,60.20611878824785,med,med,1
A1P,45.58300517881571,med,med,1
A1R,48.18434677419356,med,med,1
A1S,51.499373509559575,med,med,1
A1T,46.98982797089727,med,med,1
A1U,52.77287670496108,med,med,1
A1V,46.99104723279248,med,med,1
A1W,41.063724798387085,med,high,0
A1X,63.78038177157224,med,med,1
A1Y,46.97528817745143,med,med,1
A20,53.57649044358806,med,med,1
A21,41.34696774987691,med,high,0
A22,55.37222382782909,med,med,1
A23,46.6641715015725,med,med,1
A24,45.451894088669974,med,med,1
A25,45.93839140749486,med,med,1
A26,55.29188406491045,med,med,1
A27,48.40351249982871,med,med,1
A28,47.57636798149463,med,med,1
A29,38.678994866609656,med,high,0
A2A,45.64062953499604,med,med,1
A2B,54.29485882175304,med,med,1
A2C,53.45376134115972,med,med,1
A2D,54.27192343217126,med,med,1
A2E,56.49736571879939,med,med,1
A2F,41.66095499148062,med,high,0
A2G,48.80635636848598,med,med,1
A2H,54.082003633474216,med,med,1
A2J,53.200746580794714,med,med,1
A2K,55.57832292557106,med,med,1
A2L,57.91385030252107,med,med,1
A2M,44.83261550017852,med,high,0
A2N,54.090515690465,med,med,1
A2P,47.418238812775485,med,med,1
A2R,53.02051152417894,med,med,1
A2S,55.2113509720114,med,med,1
A2T,49.458990242705056,med,med,1
A2U,43.790397077782586,med,high,0
A2V,56.3654140420017,med,med,1
A2W,49.82224845065659,med,med,1
A2X,42.529860160226576,med,high,0
A2Y,42.59416535562113,med,high,0
A30,50.01341515081745,med,med,1
A31,43.64651401869162,med,high,0
A32,58.525642303857666,med,med,1
A33,52.51360504877805,med,med,1
A34,46.04774908806672,med,med,1
A35,47.95735270308165,med,med,1
A36,48.29798940323482,med,med,1
A37,57.16984879695245,med,med,1
A38,60.392005115089546,med,med,1
A39,50.727938824231586,med,med,1
A3A,54.545413011995265,med,med,1
A3B,48.982111315670124,med,med,1
A3C,61.36848413468201,med,med,1
A3D,43.016125680460874,med,high,0
A3E,58.075204411309926,med,med,1
A3F,43.082898912907666,med,high,0
A3G,48.83871024216262,med,med,1
A3H,59.35820870448913,med,med,1
A3J,61.08306895057976,med,med,1
A3K,50.33166784452297,med,med,1
A3L,57.7431842009739,med,med,1
A3M,57.79898094199905,med,med,1
A3N,54.541207044203944,med,med,1
A3P,60.29259006544231,med,med,1
A3R,46.692235693593034,med,med,1
A3S,48.12779530424538,med,med,1
A3T,54.470297886360754,med,med,1
A3U,42.14978919631096,med,high,0
A3V,45.94513951034065,med,med,1
A3W,45.03153099786428,med,med,1
A3X,72.56768119462373,med,low,0
A3Y,44.671342594685,med,high,0
A40,55.741165021189076,med,med,1
A41,37.8915853658537,med,high,0
A42,40.57746892987967,med,high,0
A43,53.39503814564273,med,med,1
A44,46.9897199359383,med,med,1
A45,56.99673412043721,med,med,1
A46,43.6696040143197,med,high,0
A47,46.303901222947644,med,med,1
A48,58.50023519773946,med,med,1
A49,47.87304340756691,med,med,1
A4A,63.23014599970412,med,med,1
A4B,56.00308400088866,med,med,1
A4C,52.88369887636716,med,med,1
A4D,47.5709431207066,med,med,1
A4E,42.01619023779725,med,high,0
A4F,54.10166536139812,med,med,1
A4G,49.833807308476935,med,med,1
A4H,45.86230146674157,med,med,1
A4J,44.11942194481881,med,high,0
A4K,44.92774060316552,med,high,0
A4L,54.56532755888111,med,med,1
A4M,51.07687755102043,med,med,1
A4N,51.63320707070707,med,med,1
A4P,55.699527271246836,med,med,1
A4R,44.51873253861913,med,high,0
A4S,48.23592275371689,med,med,1
A4U,54.46180316104466,med,med,1
A4V,49.477177653256035,med,med,1
A4W,50.301942733427325,med,med,1
A4X,46.326221410128596,med,med,1
A4Y,53.00617636011064,med,med,1
A50,46.0457581009064,med,med,1
A51,59.457576769350766,med,med,1
A52,55.66706392849483,med,med,1
A53,40.37444363006401,med,high,0
A54,57.594604837939926,med,med,1
A55,52.61058815633808,med,med,1
A56,53.04846749296868,med,med,1
A57,46.79348056696321,med,med,1
A58,41.74326923076927,med,high,0
A59,49.27593212612547,med,med,1
A5A,44.95756968183545,med,high,0
A5B,55.98400022070186,med,med,1
A5C,57.085241366560794,med,med,1
A5D,43.49288586635129,med,high,0
A5E,50.88780226943507,med,med,1
A5F,48.17925726493593,med,med,1
A5G,51.08877442858204,med,med,1
A5H,64.81826777917284,med,med,1
A5J,56.49421829154841,med,med,1
A5K,55.01152238005898,med,med,1
A5L,58.10078447559485,med,med,1
A5M,48.446096023130764,med,med,1
A5N,66.77189644897817,med,low,0
A5P,50.28259207605501,med,med,1
A5R,48.973476331360956,med,med,1
A5S,55.258605683374654,med,med,1
A5T,56.80651125676833,med,med,1
A5U,62.16578921919826,med,med,1
A5V,51.3205129254884,med,med,1
A5W,57.00762780476522,med,med,1
A5X,60.9687277560611,med,med,1
A5Y,47.158149033955425,high,med,0
A60,32.469777250634536,high,high,1
A61,69.04656024249428,med,low,0
A62,40.163252922872886,high,high,1
A63,79.21808356188684,low,low,1
A64,47.583635377814346,high,med,0
A65,65.10196501740435,med,med,1
A66,41.82384121251596,high,high,1
A67,56.92015905565576,med,med,1
A68,61.02359090324286,med,med,1
A69,42.19259845425955,med,high,0
A6A,56.181068797551006,med,med,1
A6B,45.260022010976655,high,med,0
A6C,68.24653993275246,med,low,0
A6D,34.84171655063187,high,high,1
A6E,82.42381664066316,low,low,1
A6F,40.382387223169104,high,high,1
A6G,38.38097449781844,high,high,1
A6J,66.72619278316071,med,low,0
A6L,55.765035241099156,med,med,1
A6M,35.594138508140844,high,high,1
A6N,75.41082209860521,high,low,0
A6R,75.2679046329217,low,low,1
A6S,37.401412966603004,high,high,1
A6T,74.2866742383727,med,low,0
A6U,40.290957840421186,high,high,1
A6V,63.54219382318186,med,med,1
A6W,60.264639138140836,low,med,0
A6X,59.61484707993988,low,med,0
A6Y,49.324210767275446,med,med,1
A70,68.64865326094275,low,low,1
A73,75.96244617864713,low,low,1
A74,96.454751689918,med,low,0
A75,56.57581489545315,med,med,1
A77,56.31080448495484,low,med,0
A79,40.396953172859014,med,high,0
A7A,75.84818042117546,med,low,0
A7C,56.31833116897376,med,med,1
A7D,62.92799057601957,low,med,0
A7F,53.52787167608338,med,med,1
A7G,67.8078271100617,low,low,1
A7H,58.481010397054774,low,med,0
A7J,74.28713700704657,med,low,0
A7K,68.58664349416992,low,low,1
A7L,37.87799252208873,low,high,0
A7N,71.0459732266368,low,low,1
A7P,68.37642445297983,low,low,1
A7S,52.001560741778064,med,med,1
A7T,50.64117555904997,med,med,1
A7U,49.98729181084201,med,med,1
A7V,51.45182033980416,med,med,1
A7W,50.58364136734295,med,med,1
A7X,66.51401325266494,med,low,0
A7Y,52.79805039049725,med,med,1
A80,58.21318738789411,med,med,1
A81,60.72907396449705,med,med,1
A82,67.57111150317574,med,low,0
A83,56.78235813603911,med,med,1
A84,54.298027210884385,med,med,1
A85,54.46914550831042,med,med,1
A86,57.42655657262907,med,med,1
A87,44.645495717242426,med,high,0
A88,51.664321795037324,med,med,1
A89,62.50768404754055,med,med,1
A8A,77.96309346567412,med,low,0
A8B,59.3570011596444,med,med,1
A8C,62.99287760063119,med,med,1
A8D,53.34937114968483,med,med,1
A8E,55.668139701272395,med,med,1
A8F,54.70397608504692,med,med,1
A8G,57.26817427618002,med,med,1
A8H,53.315583816395815,med,med,1
A8J,43.66866022171462,med,high,0
A8K,50.12476871324384,med,med,1
A8L,65.29244084804274,med,med,1
A8M,53.14391877871648,med,med,1
A8N,59.86837533409698,med,med,1
A8P,49.07846070758947,med,med,1
A8R,58.26420821070295,med,med,1
A8S,51.63014942774333,med,med,1
A8T,57.844623005221806,med,med,1
A8U,53.07502838055561,med,med,1
A8V,44.70559440559444,med,high,0
A8W,51.34422789755328,med,med,1
A8X,47.97589185072803,med,med,1
A8Y,64.17761349704102,med,med,1
A90,62.15220475728006,med,med,1
A91,55.1558641442212,med,med,1
A92,53.1841087808516,med,med,1
A93,58.759053049658576,med,med,1
A94,51.70230243055556,med,med,1
A95,49.781850254885796,med,med,1
A96,47.046196624366274,med,med,1
A97,52.6504292147481,med,med,1
A98,44.871968131996766,med,high,0
A99,59.60492542660893,med,med,1
A9A,52.24264020428811,med,med,1
A9B,56.32318181818184,med,med,1
A9C,49.11543277106799,med,med,1
A9D,51.74290911518463,med,med,1
A9E,46.31500704874361,med,med,1
A9F,52.005978832927866,med,med,1
A9G,63.600714285714304,med,med,1
A9H,59.73005966731121,med,med,1
A9J,39.08698392475148,med,high,0
A9K,50.886498628864615,med,med,1
A9L,48.50810615694891,med,med,1
A9M,42.3014740199867,med,high,0
A9N,46.79360961547263,med,med,1
A9P,54.515869565217415,med,med,1
A9R,61.38850813196811,med,med,1
A9S,55.295000000000016,med,med,1
A9T,60.87036245024494,med,med,1
A9U,50.004701540303955,med,med,1
A9V,40.53026883719161,med,high,0
A9W,47.4100699129464,med,med,1
A9X,59.72937227866474,med,med,1
A9Y,59.0107142857143,med,med,1
AA0,59.13335671712795,med,med,1
AA1,53.771479975086635,med,med,1
AA2,59.39074978943184,med,med,1
AA3,52.25045115962405,med,med,1
